galaxy,r_kpc,v_obs_kms,mass_msun,rd_kpc
NGC4559,13.73,123.00,47770387.35015626,3.0
NGC4559,14.38,124.00,47770387.35015626,3.0
NGC4559,15.03,124.00,47770387.35015626,3.0
NGC4559,15.68,123.00,47770387.35015626,3.0
NGC4559,16.33,123.00,47770387.35015626,3.0
NGC4559,16.98,123.00,47770387.35015626,3.0
NGC4559,17.72,121.00,47770387.35015626,3.0
NGC4559,18.28,122.00,47770387.35015626,3.0
NGC4559,19.02,122.00,47770387.35015626,3.0
NGC4559,19.67,121.00,47770387.35015626,3.0
NGC4559,20.32,120.00,47770387.35015626,3.0
NGC4559,20.97,119.00,47770387.35015626,3.0
NGC5005,0.49,211.00,5683174212.83573,3.0
NGC5005,0.98,233.00,5683174212.83573,3.0
NGC5005,1.47,227.00,5683174212.83573,3.0
NGC5005,1.97,234.00,5683174212.83573,3.0
NGC5005,2.46,245.00,5683174212.83573,3.0
NGC5005,2.95,244.00,5683174212.83573,3.0
NGC5005,3.44,261.00,5683174212.83573,3.0
NGC5005,3.93,259.00,5683174212.83573,3.0
NGC5005,4.42,258.00,5683174212.83573,3.0
NGC5005,4.92,258.00,5683174212.83573,3.0
NGC5005,5.74,261.00,5683174212.83573,3.0
NGC5005,6.56,263.00,5683174212.83573,3.0
NGC5005,7.37,264.00,5683174212.83573,3.0
NGC5005,8.19,265.00,5683174212.83573,3.0
NGC5005,9.01,265.00,5683174212.83573,3.0
NGC5005,9.83,264.00,5683174212.83573,3.0
NGC5005,10.65,264.00,5683174212.83573,3.0
NGC5005,11.47,265.00,5683174212.83573,3.0
NGC5033,0.76,206.00,165739899.17320085,3.0
NGC5033,2.28,214.00,165739899.17320085,3.0
NGC5033,3.80,222.00,165739899.17320085,3.0
NGC5033,5.33,224.00,165739899.17320085,3.0
NGC5033,6.85,225.00,165739899.17320085,3.0
NGC5033,8.00,222.00,165739899.17320085,3.0
NGC5033,10.28,220.00,165739899.17320085,3.0
NGC5033,12.56,218.00,165739899.17320085,3.0
NGC5033,14.91,219.00,165739899.17320085,3.0
NGC5033,17.15,217.00,165739899.17320085,3.0
NGC5033,19.39,218.00,165739899.17320085,3.0
NGC5033,21.64,220.00,165739899.17320085,3.0
NGC5033,24.01,222.00,165739899.17320085,3.0
NGC5033,26.25,218.00,165739899.17320085,3.0
NGC5033,28.50,217.00,165739899.17320085,3.0
NGC5033,30.87,207.00,165739899.17320085,3.0
NGC5033,33.12,199.00,165739899.17320085,3.0
NGC5033,35.36,191.00,165739899.17320085,3.0
NGC5033,37.73,193.00,165739899.17320085,3.0
NGC5033,39.98,192.00,165739899.17320085,3.0
NGC5033,42.22,194.00,165739899.17320085,3.0
NGC5033,44.59,196.00,165739899.17320085,3.0
NGC5055,0.72,125.00,187500713.74809995,3.0
NGC5055,1.43,162.00,187500713.74809995,3.0
NGC5055,2.16,178.00,187500713.74809995,3.0
NGC5055,2.87,193.00,187500713.74809995,3.0
NGC5055,3.59,192.00,187500713.74809995,3.0
NGC5055,4.30,190.00,187500713.74809995,3.0
NGC5055,5.03,195.00,187500713.74809995,3.0
NGC5055,5.75,201.00,187500713.74809995,3.0
NGC5055,6.46,204.00,187500713.74809995,3.0
NGC5055,7.18,204.00,187500713.74809995,3.0
NGC5055,7.91,206.00,187500713.74809995,3.0
NGC5055,8.62,206.00,187500713.74809995,3.0
NGC5055,11.49,206.00,187500713.74809995,3.0
NGC5055,14.30,206.00,187500713.74809995,3.0
NGC5055,17.19,203.00,187500713.74809995,3.0
NGC5055,20.07,200.00,187500713.74809995,3.0
NGC5055,22.96,194.00,187500713.74809995,3.0
NGC5055,25.85,188.00,187500713.74809995,3.0
NGC5055,28.74,184.00,187500713.74809995,3.0
NGC5055,31.62,182.00,187500713.74809995,3.0
NGC5055,34.51,180.00,187500713.74809995,3.0
NGC5055,37.40,181.00,187500713.74809995,3.0
NGC5055,40.29,180.00,187500713.74809995,3.0
NGC5055,43.17,179.00,187500713.74809995,3.0
NGC5055,45.92,179.00,187500713.74809995,3.0
NGC5055,48.81,179.00,187500713.74809995,3.0
NGC5055,51.70,174.00,187500713.74809995,3.0
NGC5055,54.59,172.00,187500713.74809995,3.0
NGC5371,1.45,216.00,1267039008.007474,3.0
NGC5371,2.88,215.00,1267039008.007474,3.0
NGC5371,4.33,215.00,1267039008.007474,3.0
NGC5371,5.78,214.00,1267039008.007474,3.0
NGC5371,7.22,215.00,1267039008.007474,3.0
NGC5371,8.66,221.00,1267039008.007474,3.0
NGC5371,11.55,233.00,1267039008.007474,3.0
NGC5371,14.48,237.00,1267039008.007474,3.0
NGC5371,17.28,242.00,1267039008.007474,3.0
NGC5371,20.20,241.00,1267039008.007474,3.0
NGC5371,23.12,240.00,1267039008.007474,3.0
NGC5371,26.04,234.00,1267039008.007474,3.0
NGC5371,28.84,226.00,1267039008.007474,3.0
NGC5371,31.76,213.00,1267039008.007474,3.0
NGC5371,34.68,207.00,1267039008.007474,3.0
NGC5371,37.48,208.00,1267039008.007474,3.0
NGC5371,40.40,209.00,1267039008.007474,3.0
NGC5371,43.32,207.00,1267039008.007474,3.0
NGC5371,46.24,213.00,1267039008.007474,3.0
NGC5585,0.09,11.20,5160006.64059904,3.0
NGC5585,0.26,26.50,5160006.64059904,3.0
NGC5585,0.43,33.70,5160006.64059904,3.0
NGC5585,0.60,32.70,5160006.64059904,3.0
NGC5585,0.77,33.70,5160006.64059904,3.0
NGC5585,0.94,35.70,5160006.64059904,3.0
NGC5585,1.11,37.80,5160006.64059904,3.0
NGC5585,1.28,41.80,5160006.64059904,3.0
NGC5585,1.46,43.90,5160006.64059904,3.0
NGC5585,1.63,44.90,5160006.64059904,3.0
NGC5585,2.05,53.20,5160006.64059904,3.0
NGC5585,2.74,64.30,5160006.64059904,3.0
NGC5585,3.42,73.10,5160006.64059904,3.0
NGC5585,4.11,76.20,5160006.64059904,3.0
NGC5585,4.79,78.40,5160006.64059904,3.0
NGC5585,5.48,83.10,5160006.64059904,3.0
NGC5585,6.16,88.00,5160006.64059904,3.0
NGC5585,6.85,89.90,5160006.64059904,3.0
NGC5585,7.53,90.60,5160006.64059904,3.0
NGC5585,8.21,91.60,5160006.64059904,3.0
NGC5585,8.90,92.30,5160006.64059904,3.0
NGC5585,9.57,90.90,5160006.64059904,3.0
NGC5585,10.31,89.60,5160006.64059904,3.0
NGC5585,10.96,89.40,5160006.64059904,3.0
NGC5907,5.03,214.00,395705162.82632434,3.0
NGC5907,7.55,220.00,395705162.82632434,3.0
NGC5907,10.07,235.00,395705162.82632434,3.0
NGC5907,12.58,235.00,395705162.82632434,3.0
NGC5907,15.10,230.00,395705162.82632434,3.0
NGC5907,17.61,231.00,395705162.82632434,3.0
NGC5907,20.13,232.00,395705162.82632434,3.0
NGC5907,22.65,225.00,395705162.82632434,3.0
NGC5907,25.16,224.00,395705162.82632434,3.0
NGC5907,27.68,229.00,395705162.82632434,3.0
NGC5907,30.20,218.00,395705162.82632434,3.0
NGC5907,32.71,214.00,395705162.82632434,3.0
NGC5907,35.23,213.00,395705162.82632434,3.0
NGC5907,37.75,211.00,395705162.82632434,3.0
NGC5907,40.26,217.00,395705162.82632434,3.0
NGC5907,42.78,216.00,395705162.82632434,3.0
NGC5907,45.29,215.00,395705162.82632434,3.0
NGC5907,47.81,217.00,395705162.82632434,3.0
NGC5907,50.33,214.00,395705162.82632434,3.0
NGC5985,3.54,223.00,1299341554.3600564,3.0
NGC5985,4.23,230.00,1299341554.3600564,3.0
NGC5985,4.97,248.00,1299341554.3600564,3.0
NGC5985,5.74,258.00,1299341554.3600564,3.0
NGC5985,6.47,263.00,1299341554.3600564,3.0
NGC5985,7.22,272.00,1299341554.3600564,3.0
NGC5985,8.02,287.00,1299341554.3600564,3.0
NGC5985,8.79,289.00,1299341554.3600564,3.0
NGC5985,9.50,292.00,1299341554.3600564,3.0
NGC5985,10.27,302.00,1299341554.3600564,3.0
NGC5985,11.08,302.00,1299341554.3600564,3.0
NGC5985,11.82,304.00,1299341554.3600564,3.0
NGC5985,12.56,303.00,1299341554.3600564,3.0
NGC5985,13.39,305.00,1299341554.3600564,3.0
NGC5985,14.10,300.00,1299341554.3600564,3.0
NGC5985,14.93,295.00,1299341554.3600564,3.0
NGC5985,15.64,294.00,1299341554.3600564,3.0
NGC5985,16.35,290.00,1299341554.3600564,3.0
NGC5985,17.18,291.00,1299341554.3600564,3.0
NGC5985,17.89,286.00,1299341554.3600564,3.0
NGC5985,18.72,287.00,1299341554.3600564,3.0
NGC5985,19.44,294.00,1299341554.3600564,3.0
NGC5985,20.26,290.00,1299341554.3600564,3.0
NGC5985,20.98,288.00,1299341554.3600564,3.0
NGC5985,21.69,290.00,1299341554.3600564,3.0
NGC5985,22.52,294.00,1299341554.3600564,3.0
NGC5985,23.23,297.00,1299341554.3600564,3.0
NGC5985,24.06,293.00,1299341554.3600564,3.0
NGC5985,24.77,291.00,1299341554.3600564,3.0
NGC5985,25.95,297.00,1299341554.3600564,3.0
NGC5985,28.92,292.00,1299341554.3600564,3.0
NGC5985,31.76,288.00,1299341554.3600564,3.0
NGC5985,34.72,285.00,1299341554.3600564,3.0
NGC6015,0.34,35.50,40284942.149764,3.0
NGC6015,0.67,62.40,40284942.149764,3.0
NGC6015,1.00,90.70,40284942.149764,3.0
NGC6015,1.32,104.00,40284942.149764,3.0
NGC6015,1.65,105.00,40284942.149764,3.0
NGC6015,1.98,108.00,40284942.149764,3.0
NGC6015,2.31,116.00,40284942.149764,3.0
NGC6015,2.63,130.00,40284942.149764,3.0
NGC6015,2.96,141.00,40284942.149764,3.0
NGC6015,3.28,146.00,40284942.149764,3.0
NGC6015,3.61,150.00,40284942.149764,3.0
NGC6015,3.94,152.00,40284942.149764,3.0
NGC6015,4.27,155.00,40284942.149764,3.0
NGC6015,4.60,152.00,40284942.149764,3.0
NGC6015,4.94,150.00,40284942.149764,3.0
NGC6015,5.30,147.00,40284942.149764,3.0
NGC6015,5.63,145.00,40284942.149764,3.0
NGC6015,5.96,152.00,40284942.149764,3.0
NGC6015,6.27,149.00,40284942.149764,3.0
NGC6015,8.24,149.00,40284942.149764,3.0
NGC6015,10.30,146.00,40284942.149764,3.0
NGC6015,11.13,149.00,40284942.149764,3.0
NGC6015,11.95,152.00,40284942.149764,3.0
NGC6015,12.72,153.00,40284942.149764,3.0
NGC6015,13.58,156.00,40284942.149764,3.0
NGC6015,14.43,158.00,40284942.149764,3.0
NGC6015,15.29,158.00,40284942.149764,3.0
NGC6015,16.02,159.00,40284942.149764,3.0
NGC6015,16.88,161.00,40284942.149764,3.0
NGC6015,17.73,163.00,40284942.149764,3.0
NGC6015,18.59,162.00,40284942.149764,3.0
NGC6015,19.32,164.00,40284942.149764,3.0
NGC6015,20.18,165.00,40284942.149764,3.0
NGC6015,21.04,166.00,40284942.149764,3.0
NGC6015,21.89,163.00,40284942.149764,3.0
NGC6015,22.63,159.00,40284942.149764,3.0
NGC6015,23.48,155.00,40284942.149764,3.0
NGC6015,24.34,154.00,40284942.149764,3.0
NGC6015,25.19,149.00,40284942.149764,3.0
NGC6015,25.93,153.00,40284942.149764,3.0
NGC6015,26.78,156.00,40284942.149764,3.0
NGC6015,27.64,151.00,40284942.149764,3.0
NGC6015,28.37,158.00,40284942.149764,3.0
NGC6015,29.23,152.00,40284942.149764,3.0
NGC6195,1.33,175.00,2617030003.474141,3.0
NGC6195,2.34,237.00,2617030003.474141,3.0
NGC6195,3.33,247.00,2617030003.474141,3.0
NGC6195,4.34,242.00,2617030003.474141,3.0
NGC6195,5.35,240.00,2617030003.474141,3.0
NGC6195,6.34,233.00,2617030003.474141,3.0
NGC6195,7.34,233.00,2617030003.474141,3.0
NGC6195,8.32,247.00,2617030003.474141,3.0
NGC6195,9.34,248.00,2617030003.474141,3.0
NGC6195,10.38,242.00,2617030003.474141,3.0
NGC6195,11.36,252.00,2617030003.474141,3.0
NGC6195,12.34,245.00,2617030003.474141,3.0
NGC6195,13.32,247.00,2617030003.474141,3.0
NGC6195,14.30,238.00,2617030003.474141,3.0
NGC6195,15.47,249.00,2617030003.474141,3.0
NGC6195,16.35,250.00,2617030003.474141,3.0
NGC6195,17.92,253.00,2617030003.474141,3.0
NGC6195,19.10,258.00,2617030003.474141,3.0
NGC6195,22.52,254.00,2617030003.474141,3.0
NGC6195,26.05,256.00,2617030003.474141,3.0
NGC6195,29.48,255.00,2617030003.474141,3.0
NGC6195,33.00,244.00,2617030003.474141,3.0
NGC6195,36.43,246.00,2617030003.474141,3.0
NGC6503,0.76,77.00,9172876.495770492,3.0
NGC6503,1.52,100.00,9172876.495770492,3.0
NGC6503,2.28,110.00,9172876.495770492,3.0
NGC6503,3.04,118.00,9172876.495770492,3.0
NGC6503,3.79,121.00,9172876.495770492,3.0
NGC6503,4.55,121.00,9172876.495770492,3.0
NGC6503,5.31,117.00,9172876.495770492,3.0
NGC6503,6.07,116.00,9172876.495770492,3.0
NGC6503,6.83,116.00,9172876.495770492,3.0
NGC6503,7.59,116.00,9172876.495770492,3.0
NGC6503,8.35,115.00,9172876.495770492,3.0
NGC6503,9.11,115.00,9172876.495770492,3.0
NGC6503,9.86,116.00,9172876.495770492,3.0
NGC6503,10.64,117.00,9172876.495770492,3.0
NGC6503,11.38,117.00,9172876.495770492,3.0
NGC6503,12.12,118.00,9172876.495770492,3.0
NGC6503,12.86,117.00,9172876.495770492,3.0
NGC6503,13.70,116.00,9172876.495770492,3.0
NGC6503,14.44,115.00,9172876.495770492,3.0
NGC6503,15.18,117.00,9172876.495770492,3.0
NGC6503,15.91,116.00,9172876.495770492,3.0
NGC6503,16.65,115.00,9172876.495770492,3.0
NGC6503,17.49,115.00,9172876.495770492,3.0
NGC6503,18.23,115.00,9172876.495770492,3.0
NGC6503,18.97,114.00,9172876.495770492,3.0
NGC6503,19.71,115.00,9172876.495770492,3.0
NGC6503,20.45,114.00,9172876.495770492,3.0
NGC6503,21.29,116.00,9172876.495770492,3.0
NGC6503,22.03,115.00,9172876.495770492,3.0
NGC6503,22.76,118.00,9172876.495770492,3.0
NGC6503,23.50,115.00,9172876.495770492,3.0
NGC6674,2.50,206.00,230488587.64072037,3.0
NGC6674,7.49,285.00,230488587.64072037,3.0
NGC6674,12.54,291.00,230488587.64072037,3.0
NGC6674,17.45,274.00,230488587.64072037,3.0
NGC6674,22.47,266.00,230488587.64072037,3.0
NGC6674,27.48,255.00,230488587.64072037,3.0
NGC6674,32.50,250.00,230488587.64072037,3.0
NGC6674,37.51,242.00,230488587.64072037,3.0
NGC6674,42.42,237.00,230488587.64072037,3.0
NGC6674,47.44,235.00,230488587.64072037,3.0
NGC6674,52.45,236.00,230488587.64072037,3.0
NGC6674,57.47,242.00,230488587.64072037,3.0
NGC6674,62.48,246.00,230488587.64072037,3.0
NGC6674,67.40,242.00,230488587.64072037,3.0
NGC6674,72.41,242.00,230488587.64072037,3.0
NGC6946,0.19,153.00,265454878.90035325,3.0
NGC6946,0.56,130.00,265454878.90035325,3.0
NGC6946,0.94,128.00,265454878.90035325,3.0
NGC6946,1.22,134.00,265454878.90035325,3.0
NGC6946,1.59,129.00,265454878.90035325,3.0
NGC6946,1.96,131.00,265454878.90035325,3.0
NGC6946,2.34,138.00,265454878.90035325,3.0
NGC6946,2.71,139.00,265454878.90035325,3.0
NGC6946,2.99,143.00,265454878.90035325,3.0
NGC6946,3.37,146.00,265454878.90035325,3.0
NGC6946,3.74,154.00,265454878.90035325,3.0
NGC6946,4.12,161.00,265454878.90035325,3.0
NGC6946,4.40,167.00,265454878.90035325,3.0
NGC6946,4.77,173.00,265454878.90035325,3.0
NGC6946,5.15,176.00,265454878.90035325,3.0
NGC6946,5.52,178.00,265454878.90035325,3.0
NGC6946,5.89,180.00,265454878.90035325,3.0
NGC6946,6.17,179.00,265454878.90035325,3.0
NGC6946,6.55,180.00,265454878.90035325,3.0
NGC6946,6.92,181.00,265454878.90035325,3.0
NGC6946,7.30,179.00,265454878.90035325,3.0
NGC6946,7.58,179.00,265454878.90035325,3.0
NGC6946,7.95,179.00,265454878.90035325,3.0
NGC6946,8.33,178.00,265454878.90035325,3.0
NGC6946,8.70,177.00,265454878.90035325,3.0
NGC6946,9.08,176.00,265454878.90035325,3.0
NGC6946,9.36,173.00,265454878.90035325,3.0
NGC6946,9.73,172.00,265454878.90035325,3.0
NGC6946,10.10,172.00,265454878.90035325,3.0
NGC6946,10.48,170.00,265454878.90035325,3.0
NGC6946,10.76,171.00,265454878.90035325,3.0
NGC6946,11.13,174.00,265454878.90035325,3.0
NGC6946,11.51,174.00,265454878.90035325,3.0
NGC6946,11.88,175.00,265454878.90035325,3.0
NGC6946,12.26,174.00,265454878.90035325,3.0
NGC6946,12.54,173.00,265454878.90035325,3.0
NGC6946,12.91,173.00,265454878.90035325,3.0
NGC6946,13.29,173.00,265454878.90035325,3.0
NGC6946,13.66,175.00,265454878.90035325,3.0
NGC6946,14.03,174.00,265454878.90035325,3.0
NGC6946,14.31,171.00,265454878.90035325,3.0
NGC6946,14.69,167.00,265454878.90035325,3.0
NGC6946,15.06,165.00,265454878.90035325,3.0
NGC6946,15.44,163.00,265454878.90035325,3.0
NGC6946,15.72,162.00,265454878.90035325,3.0
NGC6946,16.09,161.00,265454878.90035325,3.0
NGC6946,16.47,159.00,265454878.90035325,3.0
NGC6946,16.84,158.00,265454878.90035325,3.0
NGC6946,17.21,157.00,265454878.90035325,3.0
NGC6946,17.50,157.00,265454878.90035325,3.0
NGC6946,17.87,157.00,265454878.90035325,3.0
NGC6946,18.24,160.00,265454878.90035325,3.0
NGC6946,18.62,159.00,265454878.90035325,3.0
NGC6946,18.90,160.00,265454878.90035325,3.0
NGC6946,19.27,158.00,265454878.90035325,3.0
NGC6946,19.65,155.00,265454878.90035325,3.0
NGC6946,20.02,157.00,265454878.90035325,3.0
NGC6946,20.40,154.00,265454878.90035325,3.0
NGC7331,2.67,221.00,1147702717.47533,3.0
NGC7331,3.21,237.00,1147702717.47533,3.0
NGC7331,3.74,249.00,1147702717.47533,3.0
NGC7331,4.27,250.00,1147702717.47533,3.0
NGC7331,4.81,253.00,1147702717.47533,3.0
NGC7331,5.35,257.00,1147702717.47533,3.0
NGC7331,5.88,257.00,1147702717.47533,3.0
NGC7331,6.41,257.00,1147702717.47533,3.0
NGC7331,7.48,257.00,1147702717.47533,3.0
NGC7331,8.55,255.00,1147702717.47533,3.0
NGC7331,9.62,248.00,1147702717.47533,3.0
NGC7331,10.66,247.00,1147702717.47533,3.0
NGC7331,11.74,246.00,1147702717.47533,3.0
NGC7331,12.83,244.00,1147702717.47533,3.0
NGC7331,13.91,242.00,1147702717.47533,3.0
NGC7331,15.00,238.00,1147702717.47533,3.0
NGC7331,16.08,236.00,1147702717.47533,3.0
NGC7331,17.07,233.00,1147702717.47533,3.0
NGC7331,18.15,234.00,1147702717.47533,3.0
NGC7331,19.24,236.00,1147702717.47533,3.0
NGC7331,20.32,237.00,1147702717.47533,3.0
NGC7331,21.41,238.00,1147702717.47533,3.0
NGC7331,22.49,240.00,1147702717.47533,3.0
NGC7331,23.48,238.00,1147702717.47533,3.0
NGC7331,24.57,237.00,1147702717.47533,3.0
NGC7331,25.65,236.00,1147702717.47533,3.0
NGC7331,26.74,238.00,1147702717.47533,3.0
NGC7331,27.82,239.00,1147702717.47533,3.0
NGC7331,28.91,239.00,1147702717.47533,3.0
NGC7331,29.89,241.00,1147702717.47533,3.0
NGC7331,30.98,236.00,1147702717.47533,3.0
NGC7331,32.06,236.00,1147702717.47533,3.0
NGC7331,33.15,239.00,1147702717.47533,3.0
NGC7331,34.23,237.00,1147702717.47533,3.0
NGC7331,35.32,241.00,1147702717.47533,3.0
NGC7331,36.31,238.00,1147702717.47533,3.0
NGC7793,0.11,9.10,29565615.64278529,3.0
NGC7793,0.14,17.60,29565615.64278529,3.0
NGC7793,0.17,19.30,29565615.64278529,3.0
NGC7793,0.21,24.80,29565615.64278529,3.0
NGC7793,0.24,30.00,29565615.64278529,3.0
NGC7793,0.28,35.00,29565615.64278529,3.0
NGC7793,0.32,38.30,29565615.64278529,3.0
NGC7793,0.35,42.70,29565615.64278529,3.0
NGC7793,0.39,47.00,29565615.64278529,3.0
NGC7793,0.42,49.80,29565615.64278529,3.0
NGC7793,0.46,52.20,29565615.64278529,3.0
NGC7793,0.49,53.40,29565615.64278529,3.0
NGC7793,0.53,54.60,29565615.64278529,3.0
NGC7793,0.56,55.50,29565615.64278529,3.0
NGC7793,0.60,55.90,29565615.64278529,3.0
NGC7793,0.63,58.30,29565615.64278529,3.0
NGC7793,0.66,59.30,29565615.64278529,3.0
NGC7793,0.70,59.50,29565615.64278529,3.0
NGC7793,0.87,59.10,29565615.64278529,3.0
NGC7793,1.05,62.60,29565615.64278529,3.0
NGC7793,1.22,65.60,29565615.64278529,3.0
NGC7793,1.40,70.70,29565615.64278529,3.0
NGC7793,1.57,73.90,29565615.64278529,3.0
NGC7793,1.75,78.50,29565615.64278529,3.0
NGC7793,1.92,82.40,29565615.64278529,3.0
NGC7793,2.10,87.10,29565615.64278529,3.0
NGC7793,2.27,89.60,29565615.64278529,3.0
NGC7793,2.45,94.90,29565615.64278529,3.0
NGC7793,2.62,98.10,29565615.64278529,3.0
NGC7793,2.79,99.30,29565615.64278529,3.0
NGC7793,2.97,98.60,29565615.64278529,3.0
NGC7793,3.16,101.00,29565615.64278529,3.0
NGC7793,3.33,103.00,29565615.64278529,3.0
NGC7793,3.51,107.00,29565615.64278529,3.0
NGC7793,3.68,114.00,29565615.64278529,3.0
NGC7793,3.85,112.00,29565615.64278529,3.0
NGC7793,4.03,114.00,29565615.64278529,3.0
NGC7793,4.20,116.00,29565615.64278529,3.0
NGC7793,4.38,114.00,29565615.64278529,3.0
NGC7793,4.73,114.00,29565615.64278529,3.0
NGC7793,5.25,109.00,29565615.64278529,3.0
NGC7793,5.78,107.00,29565615.64278529,3.0
NGC7793,6.30,105.00,29565615.64278529,3.0
NGC7793,6.82,101.00,29565615.64278529,3.0
NGC7793,7.35,94.50,29565615.64278529,3.0
NGC7793,7.87,90.80,29565615.64278529,3.0
NGC7814,0.63,265.00,310595936.6573167,3.0
NGC7814,1.72,250.00,310595936.6573167,3.0
NGC7814,2.79,233.00,310595936.6573167,3.0
NGC7814,3.91,230.00,310595936.6573167,3.0
NGC7814,5.03,228.00,310595936.6573167,3.0
NGC7814,6.14,228.00,310595936.6573167,3.0
NGC7814,7.26,227.00,310595936.6573167,3.0
NGC7814,8.37,226.00,310595936.6573167,3.0
NGC7814,9.50,223.00,310595936.6573167,3.0
NGC7814,10.65,219.00,310595936.6573167,3.0
NGC7814,11.74,216.00,310595936.6573167,3.0
NGC7814,12.82,214.00,310595936.6573167,3.0
NGC7814,14.01,214.00,310595936.6573167,3.0
NGC7814,15.09,214.00,310595936.6573167,3.0
NGC7814,16.18,214.00,310595936.6573167,3.0
NGC7814,17.36,214.00,310595936.6573167,3.0
NGC7814,18.44,214.00,310595936.6573167,3.0
NGC7814,19.53,214.00,310595936.6573167,3.0
PGC51017,0.33,20.50,169653.37209999995,3.0
PGC51017,0.99,19.90,169653.37209999995,3.0
PGC51017,1.65,19.30,169653.37209999995,3.0
PGC51017,2.31,18.80,169653.37209999995,3.0
PGC51017,2.97,18.20,169653.37209999995,3.0
PGC51017,3.63,18.30,169653.37209999995,3.0
UGC00128,1.25,34.10,4999196.93725456,3.0
UGC00128,3.75,78.40,4999196.93725456,3.0
UGC00128,6.25,96.90,4999196.93725456,3.0
UGC00128,8.76,108.00,4999196.93725456,3.0
UGC00128,11.25,113.00,4999196.93725456,3.0
UGC00128,13.74,114.00,4999196.93725456,3.0
UGC00128,16.22,121.00,4999196.93725456,3.0
UGC00128,18.71,126.00,4999196.93725456,3.0
UGC00128,21.30,128.00,4999196.93725456,3.0
UGC00128,23.79,129.00,4999196.93725456,3.0
UGC00128,26.28,129.00,4999196.93725456,3.0
UGC00128,28.77,131.00,4999196.93725456,3.0
UGC00128,31.25,131.00,4999196.93725456,3.0
UGC00128,33.74,131.00,4999196.93725456,3.0
UGC00128,36.23,127.00,4999196.93725456,3.0
UGC00128,38.82,126.00,4999196.93725456,3.0
UGC00128,41.31,130.00,4999196.93725456,3.0
UGC00128,43.80,132.00,4999196.93725456,3.0
UGC00128,46.28,134.00,4999196.93725456,3.0
UGC00128,48.77,129.00,4999196.93725456,3.0
UGC00128,51.26,132.00,4999196.93725456,3.0
UGC00128,53.75,125.00,4999196.93725456,3.0
UGC00191,0.62,29.90,4653520.468804,3.0
UGC00191,0.87,34.40,4653520.468804,3.0
UGC00191,1.12,46.30,4653520.468804,3.0
UGC00191,1.37,49.80,4653520.468804,3.0
UGC00191,1.62,57.60,4653520.468804,3.0
UGC00191,2.30,71.30,4653520.468804,3.0
UGC00191,4.97,76.65,4653520.468804,3.0
UGC00191,7.45,81.00,4653520.468804,3.0
UGC00191,9.98,83.85,4653520.468804,3.0
UGC00731,0.91,29.60,2081300.7683779595,3.0
UGC00731,1.81,44.60,2081300.7683779595,3.0
UGC00731,2.73,50.40,2081300.7683779595,3.0
UGC00731,3.64,56.80,2081300.7683779595,3.0
UGC00731,4.55,60.70,2081300.7683779595,3.0
UGC00731,5.45,64.70,2081300.7683779595,3.0
UGC00731,6.36,68.00,2081300.7683779595,3.0
UGC00731,7.28,71.50,2081300.7683779595,3.0
UGC00731,8.19,73.40,2081300.7683779595,3.0
UGC00731,9.09,74.00,2081300.7683779595,3.0
UGC00731,10.00,73.80,2081300.7683779595,3.0
UGC00731,10.91,73.90,2081300.7683779595,3.0
UGC00891,1.48,24.35,511341.2656096901,3.0
UGC00891,2.97,43.55,511341.2656096901,3.0
UGC00891,4.45,54.15,511341.2656096901,3.0
UGC00891,5.94,60.15,511341.2656096901,3.0
UGC00891,7.39,63.75,511341.2656096901,3.0
UGC01230,0.78,19.80,6463757.590142409,3.0
UGC01230,2.35,55.40,6463757.590142409,3.0
UGC01230,3.91,88.50,6463757.590142409,3.0
UGC01230,5.48,105.00,6463757.590142409,3.0
UGC01230,7.03,106.00,6463757.590142409,3.0
UGC01230,8.60,103.00,6463757.590142409,3.0
UGC01230,13.27,109.00,6463757.590142409,3.0
UGC01230,14.85,113.00,6463757.590142409,3.0
UGC01230,25.80,105.00,6463757.590142409,3.0
UGC01230,32.01,103.00,6463757.590142409,3.0
UGC01230,36.54,103.00,6463757.590142409,3.0
UGC01281,0.08,1.41,563917.6420802501,3.0
UGC01281,0.23,4.46,563917.6420802501,3.0
UGC01281,0.38,7.71,563917.6420802501,3.0
UGC01281,0.54,11.00,563917.6420802501,3.0
UGC01281,0.69,14.20,563917.6420802501,3.0
UGC01281,0.84,17.20,563917.6420802501,3.0
UGC01281,1.00,20.20,563917.6420802501,3.0
UGC01281,1.15,23.20,563917.6420802501,3.0
UGC01281,1.30,26.40,563917.6420802501,3.0
UGC01281,1.46,29.30,563917.6420802501,3.0
UGC01281,1.61,31.60,563917.6420802501,3.0
UGC01281,1.76,34.60,563917.6420802501,3.0
UGC01281,1.92,37.40,563917.6420802501,3.0
UGC01281,2.07,39.90,563917.6420802501,3.0
UGC01281,2.22,42.20,563917.6420802501,3.0
UGC01281,2.38,44.40,563917.6420802501,3.0
UGC01281,2.53,46.70,563917.6420802501,3.0
UGC01281,2.68,48.50,563917.6420802501,3.0
UGC01281,2.76,49.30,563917.6420802501,3.0
UGC01281,3.07,53.00,563917.6420802501,3.0
UGC01281,3.46,54.10,563917.6420802501,3.0
UGC01281,3.83,55.00,563917.6420802501,3.0
UGC01281,4.23,55.70,563917.6420802501,3.0
UGC01281,4.62,56.40,563917.6420802501,3.0
UGC01281,4.99,56.90,563917.6420802501,3.0
UGC02023,0.76,15.10,2942504.186054409,3.0
